row_id,country,province,disturbance,forest_condition,comp_removal,shading,soil_prep,water_reg,fertilisation,protection,planting_density,planting_sp_no,species_full,genus,species,family,survival_per,lat_dec,lon_dec,w_meanWD,treatment,planting_density_missing,target_horizon_months,split_group_id,split_set
105,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Dipterocarpus cornutus,Dipterocarpus,cornutus,Dipterocarpaceae,5.591884113,-3.7,115.15,0.676666667,1,1,36.0,AGJ1996,train
106,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Dipterocarpus kunstleri,Dipterocarpus,kunstleri,Dipterocarpaceae,51.64292617,-3.7,115.15,0.6,1,1,12.0,AGJ1996,train
107,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Dipterocarpus kunstleri,Dipterocarpus,kunstleri,Dipterocarpaceae,41.21838102,-3.7,115.15,0.6,1,1,24.0,AGJ1996,train
108,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,,1.0,Dipterocarpus kunstleri,Dipterocarpus,kunstleri,Dipterocarpaceae,36.77623009,-3.7,115.15,0.6,1,1,36.0,AGJ1996,train
109,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Durio zibethinus,Durio,zibethinus,Malvaceae,89.01395816,-3.7,115.15,0.516,1,0,12.0,AGJ1997,train
110,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Durio zibethinus,Durio,zibethinus,Malvaceae,85.3729473,-3.7,115.15,0.516,1,0,24.0,AGJ1997,train
111,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Durio zibethinus,Durio,zibethinus,Malvaceae,83.42535536,-3.7,115.15,0.516,1,0,36.0,AGJ1997,train
112,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Durio zibethinus,Durio,zibethinus,Malvaceae,70.55900267,-3.7,115.15,0.516,1,0,12.0,AGJ1997,train
113,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Durio zibethinus,Durio,zibethinus,Malvaceae,56.93796256,-3.7,115.15,0.516,1,0,24.0,AGJ1997,train
114,Indonesia,South Kalimantan,AG,forest_enrichment,1,0,0,0,0,0,500.0,1.0,Durio zibethinus,Durio,zibethinus,Malvaceae,54.61445084,-3.7,115.15,0.516,1,0,36.0,AGJ1997,train
