country,province,disturbance,forest_condition,comp_removal,shading,soil_prep,water_reg,fertilisation,protection,planting_density,planting_sp_no,age_0,height_0,species_full,genus,species,family,lat_dec,lon_dec,duration_months,w_meanWD,w_sdWD,w_levelWD,w_nInd,sample_assumption,sample_weight,site_sp,treatment,yr_cat,survival_per
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,4.0,0.57,0.070823262,,1,,10.0,,1,9999.0,35.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,8.0,0.363333333,0.070823262,,3,,50.0,,1,1.0,2.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,4.0,0.363333333,0.070823262,,3,,50.0,,1,9999.0,4.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,8.0,0.57,0.070823262,,1,,50.0,,0,1.0,22.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,4.0,0.57,0.070823262,,1,,50.0,,0,9999.0,36.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,8.0,0.57,0.070823262,,1,,40.0,,1,1.0,25.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,4.0,0.57,0.070823262,,1,,40.0,,1,9999.0,35.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,8.0,0.57,0.070823262,,1,,40.0,,1,1.0,8.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,4.0,0.57,0.070823262,,1,,40.0,,1,9999.0,10.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,8.0,0.57,0.070823262,,1,,20.0,,1,1.0,20.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,4.0,0.57,0.070823262,,1,,20.0,,1,9999.0,30.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,8.0,0.57,0.070823262,,1,,50.0,,0,1.0,4.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Peronema canescens,Peronema,canescens,Lamiaceae,-2.209444444,113.89,4.0,0.57,0.070823262,,1,,50.0,,0,9999.0,4.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Palaquium leiocarpum,Palaquium,leiocarpum,Sapotaceae,-2.209444444,113.89,8.0,0.71,0.070823262,,2,,20.0,,1,1.0,50.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Palaquium leiocarpum,Palaquium,leiocarpum,Sapotaceae,-2.209444444,113.89,4.0,0.71,0.070823262,,2,,20.0,,1,9999.0,60.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Palaquium leiocarpum,Palaquium,leiocarpum,Sapotaceae,-2.209444444,113.89,8.0,0.71,0.070823262,,2,,20.0,,1,1.0,60.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Palaquium leiocarpum,Palaquium,leiocarpum,Sapotaceae,-2.209444444,113.89,4.0,0.71,0.070823262,,2,,20.0,,1,9999.0,60.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Palaquium leiocarpum,Palaquium,leiocarpum,Sapotaceae,-2.209444444,113.89,8.0,0.71,0.070823262,,2,,20.0,,1,1.0,90.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Palaquium leiocarpum,Palaquium,leiocarpum,Sapotaceae,-2.209444444,113.89,4.0,0.71,0.070823262,,2,,20.0,,1,9999.0,95.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Palaquium leiocarpum,Palaquium,leiocarpum,Sapotaceae,-2.209444444,113.89,8.0,0.71,0.070823262,,2,,20.0,,0,1.0,80.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Palaquium leiocarpum,Palaquium,leiocarpum,Sapotaceae,-2.209444444,113.89,4.0,0.71,0.070823262,,2,,20.0,,0,9999.0,95.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,8.0,0.69,0.070823262,,1,,20.0,,1,1.0,100.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,4.0,0.69,0.070823262,,1,,20.0,,1,9999.0,100.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,8.0,0.363333333,0.070823262,,3,,20.0,,1,1.0,40.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,4.0,0.363333333,0.070823262,,3,,20.0,,1,9999.0,65.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,8.0,0.69,0.070823262,,1,,20.0,,1,1.0,90.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,4.0,0.69,0.070823262,,1,,20.0,,1,9999.0,100.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,8.0,0.69,0.070823262,,1,,20.0,,1,1.0,100.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,1,0,0,1666.666667,5,,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,4.0,0.69,0.070823262,,1,,20.0,,1,9999.0,100.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,8.0,0.69,0.070823262,,1,,10.0,,0,1.0,80.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Shorea balangeran,Shorea,balangeran,Dipterocarpaceae,-2.209444444,113.89,4.0,0.69,0.070823262,,1,,10.0,,0,9999.0,100.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,8.0,0.363333333,0.070823262,,3,,50.0,,0,1.0,12.0
Indonesia,Central Kalimantan,F,open_degraded,0,0,0,0,0,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,4.0,0.363333333,0.070823262,,3,,50.0,,0,9999.0,20.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,8.0,0.363333333,0.070823262,,3,,50.0,,1,1.0,14.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,0,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,4.0,0.363333333,0.070823262,,3,,50.0,,1,9999.0,16.0
Indonesia,Central Kalimantan,F,open_degraded,1,0,0,0,1,0,1666.666667,5,,,Shorea pinanga,Shorea,pinanga,Dipterocarpaceae,-2.209444444,113.89,8.0,0.363333333,0.070823262,,3,,50.0,,1,1.0,6.0
